2025-10-10 22:51:47 | attendance_ai | INFO | Application started
2025-10-10 22:51:47 | attendance_ai | ERROR | Something went wrong
2025-10-10 22:52:08 | attendance_ai | INFO | Application started
2025-10-10 22:52:08 | attendance_ai | ERROR | Something went wrong
2025-10-10 22:53:32 | Agentic_tracking_system | INFO | Application started
2025-10-10 22:53:32 | Agentic_tracking_system | ERROR | Something went wrong
2025-10-10 23:14:30 | Agentic_tracking_system | ERROR | Failed to fetch data from None: expected str, bytes or os.PathLike object, not NoneType
2025-10-10 23:20:14 | Agentic_tracking_system | ERROR | Failed to fetch data from None: expected str, bytes or os.PathLike object, not NoneType
2025-10-10 23:35:44 | Agentic_tracking_system | INFO | Data fetched successfully and saved to data/raw/attendance.jsonl
2025-10-11 22:55:21 | Agentic_tracking_system | INFO | Data fetched successfully and saved to data/raw/attendance.jsonl
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 00:46:57 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 00:46:58 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 00:55:18 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 00:55:19 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 00:55:19 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 00:55:19 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 00:55:19 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
